api_name,english_name,english_description,target_name,target_description,translation_notes
HIGHEST_ZONE_1600,Zone Pro,"Beat Zone 1,600",区域专家,"通关第 1,600 区。",Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
HIGHEST_ZONE_1800,Zone Crusher,"Beat Zone 1,800",区域粉碎者,"通关第 1,800 区。",Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
HIGHEST_ZONE_2000,Zone Connoisseur,"Beat Zone 2,000",区域鉴赏家,"通关第 2,000 区。",Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
HIGHEST_ZONE_2200,Zone Annihilator,"Beat Zone 2,200",区域歼灭者,"通关第 2,200 区。",Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
HIGHEST_ZONE_2400,End Zone,"Beat Zone 2,400",终结区域,"通关第 2,400 区。",Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
HIGHEST_ZONE_2600,Zoned Out,"Beat Zone 2,600",区域出局,"通关第 2,600 区。",Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
ASCENSIONS_1,Restarter,Ascend the world 1 time,重启者,进行 1 次转生。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
ASCENSIONS_3,Neverending,Ascend the world 3 times,永不停歇,进行 3 次转生。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
ASCENSIONS_5,Again and Again,Ascend the world 5 times,一次又一次,进行 5 次转生。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
ASCENSIONS_10,Is this real life?,Ascend the world 10 times,这是真实人生吗？,进行 10 次转生。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
ASCENSIONS_25,Master of Reincarnation,Ascend the world 25 times,转生大师,进行 25 次转生。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
ASCENSIONS_50,Renew,Ascend the world 50 times,重生,进行 50 次转生。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
ASCENSIONS_100,Out with the old and in with the new,Ascend the world 100 times,旧的不去，新的不来,进行 100 次转生。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
ASCENSIONS_250,Goodbye Cruel World,Ascend the world 250 times,永别了，残酷世界,进行 250 次转生。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
BOSSES_KILLED_10,Boss Slaughter,Kill 10 bosses,首领屠杀,击杀 10 个首领。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
BOSSES_KILLED_100,Boss Massacre,Kill 100 bosses,首领大屠杀,击杀 100 个首领。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
BOSSES_KILLED_1000,Boss Exterminator,"Kill 1,000 bosses",首领终结者,"击杀 1,000 个首领。",Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
"BOSSES_KILLED_10,000",Boss Murderer,"Kill 10,000 bosses",首领杀手,"击杀 10,000 个首领。",Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
"BOSSES_KILLED_100,000",Boss Genocide,Kill 100K bosses,首领灭绝,击杀 100K 个首领。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
HERO_LEVELS_100,Guide,Level up heroes 100 times,指导者,升级英雄 100 次。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
HERO_LEVELS_500,Coach,Level up heroes 500 times,教练,升级英雄 500 次。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
HERO_LEVELS_2500,Teacher,"Level up heroes 2,500 times",教师,"升级英雄 2,500 次。",Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
"HERO_LEVELS_10,000",Mentor,"Level up heroes 10,000 times",导师,"升级英雄 10,000 次。",Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
"HERO_LEVELS_25,000",Levelupper,"Level up heroes 25,000 times",升级者,"升级英雄 25,000 次。",Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
"HERO_LEVELS_50,000",Super Levelupper,"Level up heroes 50,000 times",超级升级者,"升级英雄 50,000 次。",Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
MONSTERS_KILLED_100,Killer,Kill 100 monsters,杀手,击杀 100 个怪物。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
MONSTERS_KILLED_1000,Butcher,"Kill 1,000 monsters",屠夫,"击杀 1,000 个怪物。",Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
"MONSTERS_KILLED_10,000",Executioner,"Kill 10,000 monsters",行刑者,"击杀 10,000 个怪物。",Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
"MONSTERS_KILLED_100,000",Monster Genocide,Kill 100K monsters,怪物灭绝,击杀 100K 个怪物。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
"MONSTERS_KILLED_1,000K",Terminator,"Kill 1,000K monsters",终结者,"击杀 1,000K 个怪物。",Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
"MONSTERS_KILLED_1,500K",Mass Murderer,"Kill 1,500K monsters",大屠杀者,"击杀 1,500K 个怪物。",Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
TOTAL_CLICKS_1000,Proficient Clicking,"Click 1,000 times",点击熟练者,"点击 1,000 次。",Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
"TOTAL_CLICKS_10,000",Sore Finger,"Click 10,000 times",手指酸痛,"点击 10,000 次。",Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
"TOTAL_CLICKS_50,000",Carpal Tunnel,"Click 50,000 times",腕管综合征,"点击 50,000 次。",Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
"TOTAL_CLICKS_100,000",Broken Mouse,Click 100K times,鼠标坏了,点击 100K 次。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
"TOTAL_CLICKS_250,000",Finger Amputee,Click 250K times,断指者,点击 250K 次。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
"TREASURES_10,000",Treasure Hunter,"Open 10,000 treasure chests",宝藏猎人,"打开 10,000 个宝箱。",Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
UPGRADES_25,Considerate,Get 25 hero upgrades,体贴,获得 25 次英雄升级。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
UPGRADES_50,Generous,Get 50 hero upgrades,慷慨,获得 50 次英雄升级。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
UPGRADES_100,Benevolent,Get 100 hero upgrades,仁慈,获得 100 次英雄升级。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
UPGRADES_200,Magnanimous,Get 250 hero upgrades,宽宏大量,获得 250 次英雄升级。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
HIGHEST_ZONE_2800,Zowned,"Beat Zone 2,800",区域称霸,"通关第 2,800 区。",Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
HIGHEST_ZONE_3000,Z 3000,"Beat Zone 3,000",Z 3000,"通关第 3,000 区。",Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
HIGHEST_ZONE_3200,Zone Devourer,"Beat Zone 3,200",区域吞噬者,"通关第 3,200 区。",Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
HIGHEST_ZONE_3400,Are We There Yet?,"Beat Zone 3,400",到达了吗？,"通关第 3,400 区。",Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
HIGHEST_ZONE_3600,Zone Conqueror,"Beat Zone 3,600",区域征服者,"通关第 3,600 区。",Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
BURY_MERC_5,Mourner,Bury 5 Mercenaries,哀悼者,埋葬 5 名雇佣兵。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
BURY_MERC_25,Gravedigger,Bury 25 Mercenaries,掘墓人,埋葬 25 名雇佣兵。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
BURY_MERC_100,Undertaker,Bury 100 Mercenaries,殡葬师,埋葬 100 名雇佣兵。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
REVIVE_MERC_5,Lifeguard,Revive 5 Mercenaries,救生员,复活 5 名雇佣兵。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
REVIVE_MERC_25,Resuscitator,Revive 25 Mercenaries,复苏者,复活 25 名雇佣兵。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
REVIVE_MERC_100,Medic,Revive 100 Mercenaries,医护兵,复活 100 名雇佣兵。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
GOLD_QUEST_5,Supervisor,Complete 5 Gold Quests,主管,完成 5 个金币任务。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
GOLD_QUEST_25,Assistant to the Regional Manager,Complete 25 Gold Quests,区域经理助理,完成 25 个金币任务。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
GOLD_QUEST_100,Corporate Raider,Complete 100 Gold Quests,企业掠夺者,完成 100 个金币任务。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
GOLD_QUEST_500,Robber Baron,Complete 500 Gold Quests,强盗男爵,完成 500 个金币任务。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
RELIC_QUEST_5,Archaeology Student,Complete 5 Relic Quests,考古学学生,完成 5 个遗物任务。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
RELIC_QUEST_25,Archaeologist,Complete 25 Relic Quests,考古学家,完成 25 个遗物任务。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
RELIC_QUEST_100,Museum Curator,Complete 100 Relic Quests,博物馆馆长,完成 100 个遗物任务。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
RELIC_QUEST_500,Acquisitions Inc.,Complete 500 Relic Quests,收购公司,完成 500 个遗物任务。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
RUBY_QUEST_5,Seeing Red,Complete 5 Ruby Quests,眼红,完成 5 个红宝石任务。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
RUBY_QUEST_25,The Red Baron,Complete 25 Ruby Quests,红男爵,完成 25 个红宝石任务。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
RUBY_QUEST_100,Red Tide,Complete 100 Ruby Quests,赤潮,完成 100 个红宝石任务。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
RUBY_QUEST_500,Red Sea,Complete 500 Ruby Quests,红海,完成 500 个红宝石任务。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
SOUL_QUEST_5,Soul Taster,Complete 5 Soul Quests,灵魂品尝家,完成 5 个灵魂任务。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
SOUL_QUEST_25,Soul Harvester,Complete 25 Soul Quests,灵魂收割者,完成 25 个灵魂任务。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
SOUL_QUEST_100,Soul Trader,Complete 100 Soul Quests,灵魂商人,完成 100 个灵魂任务。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
SOUL_QUEST_500,Soul Banker,Complete 500 Soul Quests,灵魂银行家,完成 500 个灵魂任务。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
FIVE_MIN_QUEST_10,Short Work,Complete 50 Five Minute Quests,小菜一碟,完成 50 个五分钟任务。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
FIVE_MIN_QUEST_50,Running Late,Complete 50 Five Minute Quests,要迟到了,完成 50 个五分钟任务。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
FIVE_MIN_QUEST_250,Overtime,Complete 250 Five Minute Quests,加班,完成 250 个五分钟任务。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
FIVE_MIN_QUEST_1000,Doubletime,Complete 1000 Five Minute Quests,双倍时间,完成 1000 个五分钟任务。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
BURY_LEEROY_1,67.66 Repeating,Bury Leeroy Jenkins,67.66循环,埋葬 Leeroy Jenkins。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
HIGHEST_MERCENARY_5,Merc Life,Get a Mercenary to Level 5,雇佣兵人生,将一名雇佣兵升到 5 级。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
HIGHEST_MERCENARY_10,Getting Your Money's Worth,Get a Mercenary to Level 10,物有所值,将一名雇佣兵升到 10 级。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
HIGHEST_MERCENARY_15,You're Still Alive?,Get a Mercenary to Level 15,你还活着？,将一名雇佣兵升到 15 级。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
HIGHEST_MERCENARY_20,Mercenary Champion,Get a Mercenary to Level 20,雇佣兵冠军,将一名雇佣兵升到 20 级。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
HIGHEST_MERCENARY_25,Exceptional Specimen,Get a Mercenary to Level 25,非凡样本,将一名雇佣兵升到 25 级。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
RAREST_MERCENARY_4,Recruit an Epic Mercenary,Recruit an Epic Mercenary,招募史诗雇佣兵,招募一名史诗级雇佣兵。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
MERCENARY_COUNT_5,Team Leader,Have 5 Mercenaries,队长,拥有 5 名雇佣兵。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
TRANSCENSION_1,Transcendent,Transcend 1 Time,超越者,进行 1 次超越。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
HIGHEST_TRANSCEND_ZONE_4000,Transcendent Zone Explorer,Beat Zone 4000 After Transcension,超越区探索者,通关第 4000 区（超越后）。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
HIGHEST_TRANSCEND_ZONE_5000,Transcendent Zone Warrior,Beat Zone 5000 After Transcension,超越区战士,通关第 5000 区（超越后）。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
HIGHEST_TRANSCEND_ZONE_7500,Transcendent Zone Crusher,Beat Zone 7500 After Transcension,超越区粉碎者,通关第 7500 区（超越后）。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
HIGHEST_TRANSCEND_ZONE_10000,Transcendent Zone Connoisseur,Beat Zone 10000 After Transcension,超越区鉴赏家,通关第 10000 区（超越后）。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
HIGHEST_TRANSCEND_ZONE_15000,Transcendent Zone Annihilator,Beat Zone 15000 After Transcension,超越区歼灭者,通关第 15000 区（超越后）。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
HIGHEST_TRANSCEND_ZONE_20000,Transcendent Zone Devourer,Beat Zone 20000 After Transcension,超越区吞噬者,通关第 20000 区（超越后）。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
HIGHEST_TRANSCEND_ZONE_30000,Transcendent Zone Conqueror,Beat Zone 30000 After Transcension,超越区征服者,通关第 30000 区（超越后）。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
ANCIENT_SOULS_50,A Glimpse Outside,Acquire 50 Ancient Souls,外界一瞥,获得 50 个远古灵魂。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
ANCIENT_SOULS_100,Drinking Deep,Acquire 100 Ancient Souls,畅饮,获得 100 个远古灵魂。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
ANCIENT_SOULS_200,Ancient Crusher,Acquire 200 Ancient Souls,远古粉碎者,获得 200 个远古灵魂。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
ANCIENT_SOULS_500,Traitor,Acquire 500 Ancient Souls,叛徒,获得 500 个远古灵魂。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
