api_name,english_name,english_description,french_name,french_description,german_name,german_description,italian_name,italian_description,japanese_name,japanese_description,polish_name,polish_description,russian_name,russian_description,spanish_name,spanish_description,target_name,target_description,translation_notes
ACHIEVEMENT_SNIPE_MULTI,Double Dose,Snipe 2 people with one shot,Deux pour le prix d'un,Atteindre 2 personnes en un tir de fusil à lunette,Doppelte Dosis,Erschieße 2 Leute mit einem Schuss.,Doppia dose,Uccidi 2 persone con un colpo,一石二鳥,1回の狙撃で2人を仕留める,Podwójna dawka,Traf z karabinu snajperskiego 2 przeciwników jednym strzałem,Двойная порция,Убейте из винтовки двух врагов одним выстрелом.,Dosis doble,Acabe con dos enemigos con un solo tiro del rifle de francotirador.,双倍剂量,一枪狙击两个人。,
ACHIEVEMENT_SNIPE_GRENADE_DIST,Cooking Off,Snipe a grenade on an enemy's webbing from 100m,Dégoupillé,"Toucher la grenade à la ceinture d'un ennemi au fusil à lunette, à une distance de 100 m",Vorschnelle Explosion,Triff eine Granate am Gürtel eines Feindes aus 100 m.,Ben cotto,Spara alla granata da cintura di un nemico da 100m,遠隔クッキング,敵がベルトに下げた手榴弾を、100m以上の距離から狙撃する,Może wybuchnąć,"Traf z karabinu snajperskiego, strzelając z odległości 100 m, granat wiszący u pasa przeciwnika",Управляемый взрыв,Выстрелом со 100 метров попадите в гранату на портупее врага.,Explosión prematura,Dispare una granada del correaje de un enemigo desde una distancia de 100 m.,提前引爆,从 100 米外狙击敌人身上的手榴弹。,
ACHIEVEMENT_RIFLE_NOMISS,Make Every Bullet Count,"Complete a level with 100% accuracy, using only rifles",Chaque balle compte,"Terminer un niveau avec une précision de 100 %, à l'aide de fusils uniquement",Jede Kugel zählt,Beende einen Level mit 100 % Genauigkeit und benutze nur Gewehre.,Ogni colpo a segno,Completa un livello con il 100% della precisione usando solo fucili,パーフェクトショット,任意のステージを、ライフルだけを使い、命中率100%でクリアする,Liczy się każdy pocisk,Ukończ poziom osiągając 100% celności i posługując się wyłącznie karabinami,Каждую пулю в зачет,"Выполните задание, добившись 100%-ной точности и используя только снайперские винтовки.",Que cada bala cuente,Complete un nivel con 100 % de precisión usando solo rifles.,弹无虚发,只使用步枪，以 100% 命中率完成一个关卡。,
ACHIEVEMENT_PLAYER_UNDAMAGED,Hide and Hope,Complete a level without being shot a single time,À l'abri,Terminer un niveau sans être touché une seule fois,Verstecken und hoffen,"Beende einen Level, ohne getroffen zu werden.",Nasconditi e spera,Completa un livello senza essere colpito neanche una volta,ノーヒッター,任意のステージを、1度も撃たれずにクリアする,Pomoże ci nadzieja,"Ukończ poziom, nie pozwalając, żeby trafił cię jakikolwiek przeciwnik",Прятаться и молиться,"Выполните задание так, чтобы при этом в вас ни разу не попали.",Escóndete y espera,Complete un nivel sin que le hayan disparado ni una sola vez.,躲起来祈祷,完成一个关卡且一次都没有中弹。,
ACHIEVEMENT_GOLD_RUSH,Gold Rush,Find and retrieve all the stolen gold bars,Ruée vers l'or,Trouvez et ramassez les lingots d'or volés,Gold Rush,Finde und berge alle gestohlenen Goldbarren,Corsa all'oro,Trova e recupera tutte le barre d'oro rubate,ゴールドラッシュ,盗まれた金塊をすべて発見し、回収する,Gorączka złota,Odszukaj i odzyskaj wszystkie skradzione sztaby złota,Золотая лихорадка,Найдите и заберите все украденные золотые слитки.,La fiebre del oro,Encuentre todos los lingotes de oro y recupérelos.,淘金热,找到并取回所有被盗的金条。,
ACHIEVEMENT_GOAL_1,Trainee Sniper,Escape the German assault,Sniper en formation,Fuir la charge allemande,Scharfschützenpraktikant,Entkomme dem deutschen Angriff.,Cecchino alle prime armi,Scappa dall'assalto tedesco,アマチュアスナイパー,ドイツ軍の攻撃から逃げのびる,Snajper na próbie,Ucieknij przed niemieckim natarciem,Снайпер-наставник,Избегите немецкого штурма.,Francotirador en formación,Escape del asalto alemán,狙击新兵,逃离德军的进攻。,
ACHIEVEMENT_GOAL_2,Novice Sniper,Stop the convoy,Sniper novice,Arrêter le convoi,Anfängerscharfschütze,Stoppe den Konvoi.,Cecchino esordiente,Ferma il convoglio,新米スナイパー,車列を止める,Snajper nowicjusz,Zatrzymaj konwój,Снайпер-новичок,Остановите конвой.,Francotirador novato,Detenga el convoy.,狙击新手,阻止车队。,
ACHIEVEMENT_GOAL_3,Apprentice Sniper,Destroy the V2 Facility and escape to safety,Sniper apprenti,Détruire le centre V2 et se réfugier,Scharfschützenlehrling,Zerstöre die V2-Produktionsstätte und bringe dich in Sicherheit.,Cecchino apprendista,Distruggi la struttura del V2 e cerca rifugio,見習いスナイパー,V2製造施設を破壊し、脱出する,Snajper praktykant,Zniszcz kompleks V2 i ucieknij,Снайпер-ученик,Уничтожьте завод Фау-2 и покиньте его расположение невредимым.,Francotirador aprendiz,Destruya la planta de V2 y salga con vida.,狙击学徒,摧毁 V2 设施并安全撤离。,
ACHIEVEMENT_GOAL_4,Journeyman Sniper,Hold off the Russian advance,Sniper compagnon,Enrayer la progression des Russes,Scharfschützengeselle,Wehre den russischen Fortschritt ab.,Cecchino a giornata,Impedisci l'avanzata dei russi,職人スナイパー,ソ連軍の進行を足止めする,Snajper stażysta,Powstrzymaj radzieckie natarcie,Снайпер-специалист,Замедлите наступление русских войск.,Francotirador a sueldo,Resista el avance ruso.,狙击熟练工,阻挡俄军的推进。,
ACHIEVEMENT_GOAL_5,Skilled Sniper,Stop the execution,Sniper talentueux,Arrêter l'exécution,Geschickter Scharfschütze,Halte die Exekution auf.,Cecchino talentuoso,Ferma l'esecuzione,熟練スナイパー,処刑を阻止する,Doświadczony snajper,Przerwij egzekucję,Опытный снайпер,Предотвратите казнь.,Francotirador técnico,"Detenga la ejecución, soldado.",技巧娴熟的狙击手,阻止处决。,
ACHIEVEMENT_GOAL_6,Pro Sniper,Collect intel from the church and make it out alive,Sniper professionnel,Récupérer des renseignements à l'église et s'échapper,Profi-Scharfschütze,Sammle Informationen in der Kirche und verlasse sie lebend.,Cecchino professionista,Raccogli gli intel dalla chiesa e scappa,プロ・スナイパー,教会から脱出する,Snajper profesjonalista,Zabierz materiały wywiadowcze z kościoła i ucieknij,Снайпер-профессионал,Заберите разведданные из церкви и выберитесь оттуда живым.,Francotirador profesional,Consiga inteligencia de la iglesia y salga con vida.,专业狙击手,从教堂取得情报并活着撤离。,
ACHIEVEMENT_GOAL_7,Expert Sniper,Eliminate Müller,Sniper expert,Éliminer Müller,Expertenscharfschütze,Eliminiere Müller,Cecchino esperto,Elimina Müller,エキスパート・スナイパー,ミュラーを始末する,Snajper ekspert,Wyeliminuj Müllera,Снайпер-эксперт,Уничтожьте Мюллера,Francotirador experto,Elimine a Müller.,狙击专家,消灭 Müller。,
ACHIEVEMENT_GOAL_8,Master Sniper,Uncover Wolff's plan,Maître sniper,Débusquer les plans de Wolff,Meisterscharfschütze,Decke Wolffs Plan auf.,Cecchino maestro,Scopri i piani di Wolff,マスター・スナイパー,ヴォルフの計画を突きとめる,Mistrz snajperski,Odkryj plan Wolffa,Искусный снайпер,Раскройте планы Вольфа.,Francotirador maestro,Descubra el plan de Wolff.,狙击大师,揭开 Wolff 的计划。,
ACHIEVEMENT_GOAL_9,Veteran Sniper,Discover the location of the V2 launch site,Sniper vétéran,Trouver le site de lancement V2,Scharfschützenveteran,Finde den Startplatz der V2.,Cecchino veterano,Scopri il luogo del lancio del V2,ベテラン・スナイパー,V2ロケット発射場の場所を突きとめる,Snajper weteran,"Odkryj, gdzie znajduje się wyrzutnia V2",Снайпер-ветеран,"Узнайте, где находится стартовая площадка Фау-2.",Francotirador veterano,Descubra la ubicación de la base de lanzamiento del V2.,狙击老兵,发现 V2 发射场的位置。,
ACHIEVEMENT_GOAL_10,Feared Sniper,Destroy the V2 rocket,Sniper redouté,Détruire la fusée V2,Gefürchteter Scharfschütze,Zerstöre die V2-Rakete.,Cecchino impaurito,Distruggi il razzo V2,スーパー・スナイパー,V2ロケットを破壊する,Snajper postrach,Zniszcz rakietę V2,"Снайпер, наводящий страх",Уничтожьте ракету Фау-2.,Francotirador temido,Destruya el cohete V2.,令人畏惧的狙击手,摧毁 V2 火箭。,
ACHIEVEMENT_GOAL_11,Legendary Sniper,Prevent Wolff from escaping,Sniper légendaire,Empêcher Wolff de s'échapper,Legendärer Scharfschütze,Halte Wolff von der Flucht ab.,Cecchino leggendario,Impedisci a Wolff di scappare,レジェンド・スナイパー,ヴォルフの脱出を阻止する,Legendarny snajper,Nie pozwól uciec Wolffowi,Легендарный снайпер,Помешайте Вольфу сбежать.,Francotirador legendario,Evite que Wolff se escape.,传奇狙击手,阻止 Wolff 逃跑。,
ACHIEVEMENT_COMPLETE_HARD,Sniper Elite,Complete all missions on highest difficulty,Élite des snipers,Terminer toutes les missions au niveau le plus difficile,Elite-Scharfschütze,Schließe alle Missionen mit dem höchsten Schwierigkeitsgrad ab.,Cecchino d'élite,Completa tutte le missioni nella difficoltà più difficile,スナイパーエリート,最高難易度で全ミッションをクリアする,Elitarny snajper,Ukończ wszystkie misje na najwyższym poziomie trudności,Элитный снайпер,Выполните все задания на высшем уровне сложности.,Francotirador de élite,Complete todas las misiones en el nivel de dificultad más alto.,精英狙击手,以最高难度完成全部任务。,
ACHIEVEMENT_SECONDARY_1,Get Off the Ground,"Kill everyone in the convoy from ground level, except for Kreidl",Le plancher des vaches,"Tuer l'ensemble du convoi depuis le sol, à l'exception de Kreidl",Hoch vom Boden,Töte jeden außer Kreidl im Konvoi vom Boden aus,Via dal terreno,"Uccidi tutti nel convoglio dal suolo, eccetto Kreidl",地上から天国へ,車列襲撃時、クレイドル以外の全員を地上からの攻撃で倒す,Odbij się od ziemi,"Zabij wszystkich w konwoju, z wyjątkiem Kreidla, nie korzystając podczas ataku z wyżej położonych punktów",С мертвой точки,"Перебейте всех в конвое с уровня земли, кроме Крайдля.",¡Arriba!,"Acabe con todos los del convoy sin subir a ninguna atalaya, excepto a Kreidl.",从地面升天,在车队遇袭时，从地面击杀除 Kreidl 外的所有人。,
ACHIEVEMENT_SECONDARY_2,High and Mighty,Wipe out the Elite Russian Sniper Team from the rooftops,De grands airs,Éliminer l'équipe de tireurs d'élite russes depuis les toits,Hoch und mächtig,Lösche das russische Elite-Scharfschützenteam von den Dächern aus.,Forte e potente,Elimina la squadra russa di cecchini scelti da sopra i tetti,高所の刺客,ソ連軍のエリート狙撃部隊を屋根の上から一掃する,Atak z wysości,"Wyeliminuj elitarny oddział radzieckich snajperów, atakując z dachu",Высокий и могучий,"Уничтожьте русских снайперов, засевших на крышах.",Alto y poderoso,Elimine al equipo de francotiradores de élite rusos que se esconden en los tejados.,高高在上,从屋顶消灭精英俄军狙击小队。,
ACHIEVEMENT_SECONDARY_3,Fish Tank,Send the tank into the river by blowing up the bridge,In-submersible,Faire sauter le pont et faire tomber le char dans la rivière,Aquarium,"Schicke den Panzer in den Fluss, indem du die Brücke sprengst.",Acquario,Fai cadere il carro armato nel fiume con l'esplosione del ponte,沈没,橋を爆破し、戦車を川に落とす,Podwodny czołg,"Spowoduj, żeby czołg wpadł do rzeki, wysadzając most w powietrze",Аквариумист,"Отправьте танк на свидание с рыбами, взорвав мост.",Acuario,Haga volar el puente por los aires para que el tanque caiga al río.,鱼缸,炸毁桥梁，让坦克掉进河里。,
ACHIEVEMENT_SECONDARY_4,Kilroy was Here,Make it through the tower to the winch room without being spotted,Kilroy était là,Traverser la tour et atteindre la salle des treuils sans se faire repérer,Kilroy war hier,"Erreiche den Windenraum durch den Turm, ohne entdeckt zu werden.",Kilroy è stato qui,Raggiungi la sala dell'argano senza essere scoperto,忍びのごとく,敵に見つからずに塔のウィンチ室に到達する,Kilroy tu był,"Przedostań się w wieży do pomieszczenia windy, unikając wykrycia",Здесь был Килрой,Незаметно проберитесь через башню в комнату с лебедкой.,Kilroy ha estado aquí,Llegue hasta la sala del cabestrante que hay en la torre sin que le descubran.,基尔罗伊到此一游,不被发现地穿过高塔抵达绞盘室。,
ACHIEVEMENT_COOP_TAG,Target Spotted!,"As a spotter in Overwatch, tag 50 enemies",Cible repérée !,"En tant qu'observateur en mode Observation, repérer 50 ennemis",Ziel gesehen!,Markiere als Beobachter in Überwachungsmissionen 50 Feinde.,Obiettivo individuato!,Contrassegna 50 nemici da Osservatore in modalità Osservazione.,標的捕捉！,オーバーウォッチをスポッターとしてプレイし、50人の敵にタグをつける,Cel wykryty!,"Jako obserwator w trybie Obserwacji, oznacz 50 przeciwników",Цель замечена!,"Будучи наводчиком в 'Двойке', пометьте 50 противников.",¡Objetivo identificado!,Marque a 50 enemigos en el papel de avistador en una misión de Precaución.,发现目标！,在 Overwatch 中担任观察员，为 50 名敌人标记。,
ACHIEVEMENT_COOP_TAGGED_KILLS,Target Eliminated!,"As a sniper in Overwatch, snipe 50 enemies tagged by your partner",Cible éliminée !,"En tant que sniper en mode Observation, tuer 50 ennemis marqués par son équipier",Ziel beseitigt!,"Töte als Scharfschütze in Überwachungsmissionen 50 Gegner, die dein Partner markiert hat",Obiettivo eliminato,"Da cecchino in modalità Osservazione, uccidi 50 nemici contrassegnati dal tuo compagno",標的撃破！,オーバーウォッチをスナイパーとしてプレイし、パートナーがタグをつけた敵50人を狙撃する,Cel wyeliminowany!,"Jako snajper w trybie Obserwacji, zabij z karabinu snajperskiego 50 przeciwników oznaczonych przez partnera",Цель уничтожена!,"Будучи снайпером в 'Двойке', убейте 50 противников, помеченных напарником.",¡Objetivo eliminado!,"Como francotirador en modo Precaución, abata con el rifle de francotirador a 50 enemigos marcados.",目标已消灭！,在 Overwatch 中担任狙击手，狙击 50 名被队友标记的敌人。,
ACHIEVEMENT_COOP_RESUS,Bedpan Commando,Resuscitate your partner in co-op 10 times,Toubib,Ranimer 10 fois un coéquipier en coop,Bettpfannen-Kommando,Belebe einen Teamkameraden im Koop 10 Mal wieder,Commando-padella,Rianima un compagno in coop per 10 volte,メディック・エリート,CO-OP時にパートナーを10回治療する,Sanitariusz,Wykonaj 10 reanimacji partnera w trybie współpracy,Уточный коммандо,В совместной игре воскресите своего напарника 10 раз.,Comando enfermero,Resucite a su compañero 10 veces en el modo cooperativo.,便盆突击队员,在合作模式中复苏队友 10 次。,
ACHIEVEMENT_COOP_BOMBRUN_ROUNDS,Bomb Happy,Survive 10 games of Bombing Run,Bombe facile,Survivre à 10 parties Bombardement,Bomben-glücklich!,Überlebe 10 Spiele von Bombardierung.,Bomba facile,Sopravvivi a 10 partite di Bombardamento,ボム・ハッピー,ボミング・ランを10回クリアする,Szczęśliwa bomba,Przetrwaj 10 gier w trybie Nalotu bombowego,Бомбы и счастье,Переживите 10 бомбежек.,Amante de las bombas,Sobreviva a 10 partidas de Bombardeo.,炸弹狂人,在 Bombing Run 中存活 10 局。,
ACHIEVEMENT_COOP_DEMO_TNT_SHOTS,Detonator,Career total of 50 shots on explosives,Détonateur,Total de carrière de 50 tirs à l'explosif,Zünder,Schaffe insgesamt 50 Schüsse auf Sprengstoffe.,Detonatore,Ottieni in carriera un totale di 50 colpi sugli esplosivi,爆破屋,キャリアの合計で爆薬を50回撃つ,Detonator,Traf w sumie 50 razy w materiały wybuchowe,Подрывник,Сделайте всего 50 успешных выстрелов по взрывчатке,Detonator,Consiga un total de 50 tiros de francotirador a explosivos.,起爆器,生涯累计射击爆炸物 50 次。,
ACHIEVEMENT_COOP_COMPLETE,Can Do!,Complete all co-op Overwatch Missions,Collègues d'élite,Terminer toutes les missions d'observation en coop,Kein Problem!,Schließe alle Koop-Überwachungsmissionen ab.,Si può fare!,Completa tutte le missioni d'osservazione della coop,友の力！,マルチプレイでオーバーウォッチのミッションをすべてクリアする,Da się zrobić!,Ukończ wszystkie misje współpracy w trybie Obserwacja,Могу!,Завершите все совместные задания 'Двойки'.,¡Pa’ la saca!,Complete todas las misiones cooperativas Precaución,没问题！,完成全部合作 Overwatch 任务。,
ACHIEVEMENT_DLC_SILENCE,Silence is Golden,Complete Neudorf Outpost without alerting any AI,Le silence est d'or,Terminer l'avant-poste de Neudorf sans alerter aucune IA,Schweigen ist Gold,"Beende Stützpunkt Neudorf, ohne die KI zu alarmieren",Il silenzio è d'oro,Completa l'avamposto di Neudorf senza allertare nessuta IA,沈黙は金なり,敵を警戒させることなくノイドルフ基地をクリアする,Milczenie jest zlotem,Ukoncz misje Posterunek Neudorf unikajac wykrycia przez przeciwników,Молчание - золото,"Завершите задание в Нойдорфе, не подняв тревогу.",El silencio es oro,Completa el puente fronterizo de Neudorf sin alertar al enemigo,沉默是金,在不惊动任何 AI 的情况下完成 Neudorf 前哨站。,
ACHIEVEMENT_DLC_SMOKING,Smoking Kills,Kill 6 smoking soldiers on Neudorf Outpost,Un vrai tabac,Tuer 6 soldats qui fument à l'avant-poste de Neudorf,Rauchen kann tödlich sein,Töte 6 rauchende Soldaten am Stützpunkt Neudorf,Uccisioni fumanti,Uccidi 6 soldati che fumano ,喫煙は、あなたにとって即死の原因のひとつとなります,ノイドルフ基地で喫煙中の兵士を6人倒す,Palenie zabija,Zabij 6 zolnierzy palacych papierosy w misji Posterunek Neudorf,Нет курению,Убейте 6 курящих солдат на заставе в Нойдорфе.,Fumar mata,Mata a 6 soldados fumadores en el puente fronterizo de Neudorf,吸烟有害健康,在 Neudorf 前哨站杀死 6 名正在吸烟的士兵。,
ACHIEVEMENT_DLC_ONLY_SUPPOSED_TO,You were only supposed to...,"Allow all 3 commanders to enter the command centre in Landwehr Canal, then blow the doors",Vous étiez seulement censé... ,"Laisser les 3 commandants entrer dans le centre des opérations à Canal Landwehr, puis faire sauter les portes. ",Du solltest nur ... ,"Lasse alle drei Kommandeure das Kommandozentrum in Landwehr-Kanal betreten, dann sprenge die Türen. ",Dovevi solamente... ,"Lascia che i 3 comandanti entrino nel centro presso il Landwehr Canal, quindi fai esplodere le porte. ",指揮官ホイホイ ,3人の指揮官をラントヴェーア運河の指揮所に誘い込み、ドアを爆破する。 ,Miałeś tylko... ,"Poczekaj, aż 3 dowódcy wejdą do centrum dowodzenia w Kanale Landwehr, a następnie wysadź drzwi w powietrze. ",Только вы смогли бы... ,"Позвольте всем 3 командующим войти в командный центр на Ландвер-канале, а затем взорвите двери. ",Se suponía que solo tenías que... ,"Encárgate de que los 3 comandantes entren en el centro de comando del Canal de Landwehr, luego vuela las puertas. ",你本来只该……,让 3 名指挥官全部进入 Landwehr 运河的指挥中心，然后炸开大门。,
